iter	Passed	Remaining
402	4470	6622
403	4473	6599
404	4476	6577
405	4482	6557
406	4485	6535
407	4488	6512
408	4491	6490
409	4494	6467
410	4497	6445
411	4501	6425
412	4507	6406
413	4512	6386
414	4515	6365
415	4518	6343
416	4521	6321
417	4524	6300
418	4530	6282
419	4533	6260
420	4536	6239
421	4539	6218
422	4543	6197
423	4546	6176
424	4550	6156
425	4554	6137
426	4558	6116
427	4561	6096
428	4565	6076
429	4568	6055
430	4571	6034
431	4576	6017
432	4580	5998
433	4583	5977
434	4586	5957
435	4590	5938
436	4593	5918
437	4597	5898
438	4602	5881
439	4607	5863
440	4611	5844
441	4614	5825
442	4617	5805
443	4620	5785
444	4625	5769
445	4628	5749
446	4632	5730
447	4635	5711
448	4638	5692
449	4641	5673
450	4645	5655
451	4650	5637
452	4653	5618
453	4656	5600
454	4660	5582
455	4663	5563
456	4667	5545
457	4676	5533
458	4682	5518
459	4685	5500
460	4690	5483
461	4699	5472
462	4708	5460
463	4711	5442
464	4715	5425
465	4721	5409
466	4724	5392
467	4727	5374
468	4731	5356
469	4734	5338
470	4737	5320
471	4740	5302
472	4745	5287
473	4748	5269
474	4751	5251
475	4755	5234
476	4758	5217
477	4761	5199
478	4766	5184
479	4770	5167
480	4773	5150
481	4777	5134
482	4780	5117
483	4783	5100
484	4786	5083
485	4792	5068
486	4796	5052
487	4800	5036
488	4803	5019
489	4806	5002
490	4809	4986
491	4817	4974
492	4821	4958
493	4825	4943
494	4828	4926
495	4832	4910
496	4837	4895
497	4845	4884
498	4856	4876
499	4864	4864
500	4876	4856
501	4880	4841
502	4883	4825
503	4890	4812
504	4895	4798
505	4899	4782
506	4902	4766
507	4905	4751
508	4911	4737
509	4915	4722
510	4919	4708
511	4924	4693
512	4928	4678
513	4935	4666
514	4941	4653
515	4945	4639
516	4949	4624
517	4953	4609
518	4960	4597
519	4965	4583
520	4969	4569
521	4973	4554
522	4976	4538
523	4981	4525
524	4986	4511
525	4991	4497
526	4994	4482
527	4997	4467
528	5001	4452
529	5007	4440
530	5010	4425
531	5013	4410
532	5016	4395
533	5021	4382
534	5025	4367
535	5030	4354
536	5035	4341
537	5039	4327
538	5044	4314
539	5048	4300
540	5051	4285
541	5061	4277
542	5067	4264
543	5073	4252
544	5079	4240
545	5089	4232
546	5093	4218
547	5097	4204
548	5110	4198
549	5113	4183
550	5116	4169
551	5119	4155
552	5122	4140
553	5128	4128
554	5132	4115
555	5136	4101
556	5139	4087
557	5142	4073
558	5146	4059
559	5151	4047
560	5154	4033
561	5158	4019
562	5160	4005
563	5164	3992
564	5167	3978
565	5170	3964
566	5176	3952
567	5179	3939
568	5182	3925
569	5185	3912
570	5189	3898
571	5192	3885
572	5196	3872
573	5201	3860
574	5205	3847
575	5209	3834
576	5212	3821
577	5215	3807
578	5219	3795
579	5225	3783
580	5229	3771
581	5234	3759
582	5238	3747
583	5245	3736
584	5251	3725
585	5256	3713
586	5259	3700
587	5263	3687
588	5266	3675
589	5271	3663
590	5274	3650
591	5278	3637
592	5281	3624
593	5284	3612
594	5287	3599
595	5295	3589
596	5301	3578
597	5305	3566
598	5308	3553
599	5311	3541
600	5317	3530
601	5321	3518
602	5324	3505
603	5328	3493
604	5331	3480
605	5335	3468
606	5341	3458
607	5346	3447
608	5350	3435
609	5353	3422
610	5357	3410
611	5360	3398
612	5365	3387
613	5370	3376
614	5374	3364
615	5379	3353
616	5383	3341
617	5388	3330
618	5397	3322
619	5402	3310
620	5413	3304
621	5419	3293
622	5423	3282
623	5431	3273
624	5446	3267
625	5452	3257
626	5458	3247
627	5468	3239
628	5480	3232
629	5489	3223
630	5499	3216
631	5513	3210
632	5522	3201
633	5529	3192
634	5538	3183
635	5549	3176
636	5556	3166
637	5565	3157
638	5570	3147
639	5574	3135
640	5577	3123
641	5586	3115
642	5592	3105
643	5596	3093
644	5599	3081
645	5603	3070
646	5609	3060
647	5612	3048
648	5615	3037
649	5618	3025
650	5621	3013
651	5625	3002
652	5630	2992
653	5635	2981
654	5638	2969
655	5641	2958
656	5644	2946
657	5647	2935
658	5652	2924
659	5656	2913
660	5659	2902
661	5663	2891
662	5666	2880
663	5669	2869
664	5673	2858
665	5683	2850
666	5690	2840
667	5695	2830
668	5702	2821
669	5707	2811
670	5711	2800
671	5715	2789
672	5718	2778
673	5721	2767
674	5727	2757
675	5732	2747
676	5736	2736
677	5738	2725
678	5742	2715
679	5746	2704
680	5752	2694
681	5757	2684
682	5761	2673
